date,previous_date,portfolio_value,historical_var_return_100,historical_var_dollar_100,bootstrap_ci_lower_return_100,bootstrap_ci_upper_return_100,bootstrap_ci_lower_dollar_100,bootstrap_ci_upper_dollar_100,bootstrap_std_return_100,bootstrap_std_dollar_100,ci_width_return_100,ci_width_dollar_100
2024-10-25,2024-10-24,17017753.492238887,0.03133780957651792,533299.118359905,0.020254470875266984,0.04553362268597044,344685.59247102553,774879.9664784613,0.0066635968378255485,113399.44835777773,0.02527915181070346,430194.37400743575
2024-10-28,2024-10-25,17052738.98225808,0.031311747435013526,533951.0560876747,0.019985807341806994,0.04559527696455077,340812.7559495319,777524.3569002488,0.006775439426324178,115539.80002720664,0.025609469622743776,436711.6009507169
2024-10-29,2024-10-28,17215134.558149315,0.03149719973884906,542228.5317091921,0.020055361594223924,0.04561708686461328,345255.74845690484,785304.2885251032,0.006531019143551138,112432.37335808194,0.025561725270389354,440048.5400681984
2024-10-30,2024-10-29,17203890.20881316,0.031432271064133266,540757.3404010035,0.020110075706832986,0.045688608000264766,345971.5345512754,786021.7958300577,0.006485329324242658,111572.89366226713,0.02557853229343178,440050.2612787823
2024-10-31,2024-10-30,17206639.419288173,0.03164147199347915,544443.3992873011,0.02004322069000406,0.0457312884916455,344876.4712141162,786881.791255187,0.006491781135115572,111701.73718087091,0.025688067801641436,442005.3200410708
2024-11-01,2024-10-31,17978774.300285697,0.03183057987463038,572274.8114131958,0.020262185366183395,0.045230344491213194,364289.257529163,813186.1551316925,0.006845649086704714,123076.37986882096,0.0249681591250298,448896.89760252956
2024-11-04,2024-11-01,17439670.853123903,0.031823502150106195,554991.4028915329,0.020869153409592212,0.04521847386049776,363951.1664466366,788595.3006076679,0.006271747489785849,109377.21189577128,0.024349320450905546,424644.1341610313
2024-11-05,2024-11-04,17561447.548693478,0.03170766613298133,556832.5156858362,0.020904157089387726,0.04530252136831602,367107.25827493146,795577.8528332473,0.006345794298775145,111441.33373273782,0.024398364278928296,428470.5945583158
2024-11-06,2024-11-05,18076378.035824183,0.031802151289030606,574867.7090529905,0.02022929694290769,0.045472604401206415,365672.41893894185,821979.9874296897,0.006629966414873836,119845.77928007742,0.025243307458298725,456307.5684907479
2024-11-07,2024-11-06,18230494.219671343,0.029697394083058756,541398.1711705045,0.019359381128230106,0.04548877391639019,352931.0857546134,829282.8299426879,0.006885358907868583,125523.49577026078,0.026129392788160084,476351.7441880745
2024-11-08,2024-11-07,18442369.465770993,0.029777031176642488,549159.0105534224,0.019699777360877028,0.04534535516256925,363310.5724827252,836275.7934647081,0.006992062806393314,128950.2056033811,0.02564557780169222,472965.22098198294
2024-11-11,2024-11-08,18653167.347684637,0.02981176910091954,556083.9179699861,0.01939438615031845,0.04531426887078001,361766.73046750727,845254.6404846361,0.0071464155919483095,133303.28597271457,0.025919882720461557,483487.9100171288
2024-11-12,2024-11-11,19078353.465510592,0.029630573122685758,565302.5474202568,0.018960659439168213,0.04570158415850433,361738.162719621,871910.9765097251,0.00710522738395638,135556.03948394497,0.026740924719336118,510172.8137901041
2024-11-13,2024-11-12,18891029.592538577,0.029659085285322642,560290.6578126554,0.019524738070372177,0.045711311954839566,368842.40467396536,863533.7468526367,0.006982113018403368,131899.30364910688,0.02618657388446739,494691.34217867133
2024-11-14,2024-11-13,18628911.61337234,0.029642671002028807,552210.69808107,0.019150547447058238,0.04564421907481134,356753.85573894123,850302.1228060642,0.006904190667941861,128617.55771495907,0.0264936716277531,493548.267067123
2024-11-15,2024-11-14,18773230.210045762,0.029776690022261288,559004.6566810838,0.01939896633623583,0.04536553793612188,364181.26086708327,851657.6872773804,0.007233829182556515,135802.3405442806,0.025966571599886048,487476.4264102971
2024-11-18,2024-11-15,18537999.660558436,0.030056802697903125,557192.9982112,0.019373008110908224,0.04515574649525515,359136.81778401247,837097.2132013028,0.0069417314973118345,128685.81614085459,0.02578273838434693,477960.39541729033
2024-11-19,2024-11-18,18966959.38250939,0.029794002264425756,565101.6307917561,0.0194799912134727,0.04541997139613692,369476.20211757655,861478.7526252674,0.006907874606314368,131021.37707743267,0.02593998018266422,492002.5505076908
2024-11-20,2024-11-19,19163280.988177076,0.029897209415072998,572928.6247834171,0.019265319595023218,0.0454527757636663,369186.7327264637,871024.3136517422,0.007048670515335391,135075.653678451,0.02618745616864308,501837.5809252785
2024-11-21,2024-11-20,19004955.475062978,0.027678804640995765,526034.449805091,0.017668667072533294,0.045410873821120204,335792.23101720656,863031.6350540925,0.007941515074618412,150928.14039766436,0.02774220674858691,527239.404036886
2024-11-22,2024-11-21,19257968.177698772,0.0278061768500345,535490.4689214287,0.017251981407713713,0.04518796563262375,332238.10895200155,870228.404168014,0.007832780784189407,150843.44308481005,0.027935984224910036,537990.2952160124
2024-11-25,2024-11-22,19829851.101055708,0.028284979522715466,560886.9323318574,0.017114965781435176,0.044990150241831776,339387.2230455231,892147.9803096496,0.00771487223724895,152984.7677283152,0.0278751844603966,552760.7572641266
2024-11-26,2024-11-25,20382709.29444621,0.02778184930371656,566269.3580197676,0.01957552264361578,0.04502267891301138,399002.1873316696,917684.1759411044,0.007527366876058015,153428.13078733423,0.025447156269395598,518681.9886094348
2024-11-27,2024-11-26,20060935.862999946,0.02754989465480634,552676.669702475,0.017626199757636744,0.04496181793513557,353598.0628463759,901976.1458806352,0.007677013487240013,154008.07518690746,0.027335618177498824,548378.0830342593
2024-11-29,2024-11-27,20103491.198197052,0.027343300554079242,549695.8020185886,0.01762768290050338,0.04503803243933343,354377.9680348784,905421.6887282529,0.007548032205064398,151741.79899822,0.02741034953883005,551043.7206933745
