date,previous_date,portfolio_value,base_var_return,base_var_dollar,marginal_var_GME,marginal_var_dollar_GME,var_change_1pct_GME,var_change_1pct_dollar_GME,marginal_var_DKS,marginal_var_dollar_DKS,var_change_1pct_DKS,var_change_1pct_dollar_DKS
2022-10-04,2022-10-03,8693006.964426368,0.06629649763387334,576315.9156483372,0.005206574653780771,45260.78972612205,5.206574653780771e-05,452.6078972612205,-0.03446264555509171,-299584.01782296965,-0.0003446264555509171,-2995.8401782296964
2022-10-05,2022-10-04,9201864.703786252,0.06139459042000295,564944.7145892387,-0.014173967863680137,-130426.93459739888,-0.00014173967863680137,-1304.2693459739887,-0.031863316014744264,-293201.92298166244,-0.00031863316014744264,-2932.019229816625
2022-10-06,2022-10-05,8976931.371761924,0.060908900298926316,546775.0179129508,-0.013599832149213675,-122084.75987097263,-0.00013599832149213675,-1220.8475987097263,-0.03147629601747623,-282560.5491861473,-0.0003147629601747623,-2825.6054918614727
2022-10-07,2022-10-06,8833166.651424365,0.06070846040449879,536247.9479043352,-0.013377798454892315,-118168.32318123119,-0.00013377798454892315,-1181.683231812312,-0.03133337237891595,-276772.8999741017,-0.0003133337237891595,-2767.728999741017
2022-10-10,2022-10-07,8608165.781962337,0.060080839633564774,517185.8278852189,-0.012679579146513548,-109147.91933870113,-0.00012679579146513548,-1091.4791933870113,-0.030654511497844178,-263879.1169385133,-0.0003065451149784418,-2638.791169385133
2022-10-11,2022-10-10,8305283.356284683,0.06010180153738435,499162.4919911634,-0.012735285245740746,-105770.15258898851,-0.00012735285245740746,-1057.701525889885,-0.03081284720220928,-255909.42702825178,-0.0003081284720220928,-2559.0942702825178
2022-10-12,2022-10-11,8220955.169655784,0.057527757415165005,472933.1147209046,-0.021379025823117098,-175756.012862759,-0.00021379025823117098,-1757.56012862759,-0.050250454777434755,-413106.73598010646,-0.0005025045477743476,-4131.067359801064
2022-10-13,2022-10-12,8266355.698303169,0.0579563974199896,479088.1960658541,-0.021854077484745327,-180653.5779471835,-0.00021854077484745327,-1806.5357794718352,-0.050793169587578374,-419874.4068551577,-0.0005079316958757837,-4198.744068551577
2022-10-14,2022-10-13,8229014.32980892,0.05749183830068607,473101.16122340295,-0.021365723364111244,-175818.84373000468,-0.00021365723364111244,-1758.1884373000466,-0.05033046942755359,-414170.15414534824,-0.0005033046942755359,-4141.701541453483
2022-10-17,2022-10-14,7865238.579174562,0.05660954507096809,445247.5778416994,-0.020396406923010174,-160422.60660740276,-0.00020396406923010174,-1604.2260660740276,-0.049498012343476144,-389313.6762763673,-0.0004949801234347614,-3893.136762763673
2022-10-18,2022-10-17,8309529.572625647,0.05619469939076205,466951.5164123457,0.011288659058576733,93803.44628253176,0.00011288659058576733,938.0344628253176,-0.028261485421106347,-234839.64887301179,-0.00028261485421106347,-2348.3964887301177
2022-10-19,2022-10-18,8475385.571800193,0.05635769893160373,477653.22838477336,0.011115562974037263,94208.68205259186,0.00011115562974037263,942.0868205259186,-0.02841886389857093,-240860.82905290142,-0.0002841886389857093,-2408.608290529014
2022-10-20,2022-10-19,8047921.131607957,0.05465818199079563,439884.73785899766,0.012975222992816365,104423.57131121226,0.00012975222992816365,1044.2357131121228,-0.018469835422742914,-148643.77879601388,-0.00018469835422742914,-1486.4377879601388
2022-10-21,2022-10-20,8038114.597897899,0.05451153505877885,438169.9657097934,0.013132952683097415,105564.17867550772,0.00013132952683097415,1055.6417867550772,-0.021938192032703446,-176341.70162956096,-0.00021938192032703446,-1763.4170162956095
2022-10-24,2022-10-21,8176419.805981873,0.05416904096664301,442908.81943070336,0.013546483090747657,110761.73264458768,0.00013546483090747657,1107.6173264458769,-0.020402313268385458,-166817.8782954736,-0.00020402313268385458,-1668.178782954736
2022-10-25,2022-10-24,8124296.558224041,0.05345715361209446,434301.7691031929,0.014315028308304473,116299.53521603774,0.00014315028308304473,1162.9953521603775,-0.020010229175436434,-162569.03601927252,-0.00020010229175436434,-1625.6903601927252
2022-10-26,2022-10-25,8585772.031449905,0.05449622779791296,467892.18844684394,0.013197919493542626,113314.32806098576,0.00013197919493542626,1133.1432806098576,-0.02635410956909473,-226270.37685209984,-0.0002635410956909473,-2262.7037685209984
2022-10-27,2022-10-26,8481233.015316255,0.05451660565519515,462368.035765818,-0.006178999232383381,-52405.53229130373,-6.178999232383381e-05,-524.0553229130373,-0.017661756244616994,-149793.4701703137,-0.00017661756244616994,-1497.9347017031369
2022-10-28,2022-10-27,8434569.515798034,0.0542962351513333,457965.3698300375,0.0011534083782280269,9728.503146268165,1.1534083782280269e-05,97.28503146268164,-0.01740458008403223,-146800.14061204382,-0.00017404580084032228,-1468.001406120438
2022-10-31,2022-10-28,8727216.804063976,0.05404406174463442,471654.2438176446,0.011286544990205677,98500.12509834707,0.00011286544990205677,985.0012509834706,-0.0171442697883592,-149621.75939037476,-0.000171442697883592,-1496.2175939037477
2022-11-01,2022-10-31,8774433.100745654,0.05381434054222106,472190.3309484633,0.0003199021616925868,2806.960116555522,3.199021616925868e-06,28.069601165555216,-0.016817354885498292,-147562.75537430285,-0.00016817354885498292,-1475.6275537430286
2022-11-02,2022-11-01,8922225.658638278,0.05455962997365466,486793.3304767517,-0.0028593834685147757,-25512.06455066865,-2.8593834685147757e-05,-255.1206455066865,-0.017666267882957692,-157622.42859770244,-0.00017666267882957692,-1576.2242859770245
2022-11-03,2022-11-02,8435588.836819543,0.05434196035456699,458406.43413787545,0.007624978609694494,64321.18444092667,7.624978609694494e-05,643.2118444092666,-0.020728551541770307,-174857.5379891961,-0.00020728551541770307,-1748.5753798919611
2022-11-04,2022-11-03,8445473.101478592,0.05445502863337809,459898.4795634411,-0.001082503749588043,-9142.256299395534,-1.082503749588043e-05,-91.42256299395534,-0.019297940128434887,-162980.23426864116,-0.00019297940128434887,-1629.8023426864115
2022-11-07,2022-11-04,7906678.758059866,0.05221219391596071,412825.0445470291,-0.02126530727278239,-168137.9532973245,-0.0002126530727278239,-1681.379532973245,-0.023425759481945224,-185219.95488731578,-0.00023425759481945224,-1852.199548873158
2022-11-08,2022-11-07,8011890.26207373,0.05239841525176446,419810.3529037073,-0.021359955649321444,-171133.62066512523,-0.00021359955649321444,-1711.3362066512523,-0.023526994027638776,-188495.6943459059,-0.00023526994027638776,-1884.9569434590592
2022-11-09,2022-11-08,8043952.324439615,0.050046272272671354,402569.8281772926,0.01785120767254303,143594.2634516068,0.0001785120767254303,1435.942634516068,-0.013941695927834757,-112146.33736533672,-0.00013941695927834757,-1121.4633736533672
2022-11-10,2022-11-09,7640113.384689374,0.05002868917896759,382224.85781469475,0.017800825243012575,136000.32319765683,0.00017800825243012575,1360.0032319765685,-0.015712486969705897,-120045.18200400741,-0.00015712486969705897,-1200.451820040074
2022-11-11,2022-11-10,8522095.78712951,0.052024210065815125,443355.30143062375,-0.03221729211064783,-274558.8493688727,-0.00032217292110647833,-2745.588493688727,-0.033001838981424475,-281244.83295112394,-0.00033001838981424475,-2812.4483295112395
2022-11-14,2022-11-11,9044516.296930967,0.05353503155580083,484198.4653631542,-0.022350653235458928,-202150.84743516112,-0.00022350653235458928,-2021.508474351611,-0.02443530364041116,-221005.50199615533,-0.0002443530364041116,-2210.055019961553
2022-11-15,2022-11-14,8768759.117851237,0.05328013881350001,467200.70302125777,-0.0665357961203629,-583436.3688939231,-0.0006653579612036289,-5834.363688939231,-0.03404502454864636,-298532.61942841194,-0.0003404502454864636,-2985.3261942841195
2022-11-16,2022-11-15,9078945.653473025,0.05327179986012361,483651.7757927542,-0.0667035213663264,-605597.6453801541,-0.000667035213663264,-6055.9764538015415,-0.0339733496901716,-308442.1955035026,-0.000339733496901716,-3084.421955035026
2022-11-17,2022-11-16,8642136.21533389,0.051368449213166065,443933.1352706421,-0.02368757088781759,-204711.21422289714,-0.00023687570887817588,-2047.1121422289714,-0.031716850633102533,-274101.34349267103,-0.00031716850633102533,-2741.0134349267105
2022-11-18,2022-11-17,8795362.682145962,0.05112884023429092,449696.6933780854,0.030543229639507646,268638.78216354,0.00030543229639507646,2686.3878216354005,-0.04389308674083783,-386055.6171245608,-0.00043893086740837833,-3860.5561712456083
2022-11-21,2022-11-18,8744073.175252141,0.05092308898675556,445275.21641006705,0.03077472322809277,269096.431854575,0.0003077472322809277,2690.96431854575,-0.04405085414736706,-385183.8920969369,-0.00044050854147367063,-3851.8389209693687
2022-11-22,2022-11-21,8502188.19172071,0.05120774130130752,435377.8534166657,0.030220971177872397,256944.38429083859,0.00030220971177872397,2569.4438429083857,-0.044422043396900174,-377684.5728212296,-0.00044422043396900174,-3776.8457282122954
2022-11-23,2022-11-22,8795456.055794125,0.05102391413339321,448778.5945548728,0.024643173953668718,216747.9535847836,0.0002464317395366872,2167.479535847836,-0.04460092259324089,-392285.4547167256,-0.0004460092259324089,-3922.854547167256
2022-11-25,2022-11-23,8953961.63792393,0.05055597203373243,452676.2341579952,0.03097520340265142,277350.78299423156,0.0003097520340265142,2773.5078299423158,-0.04401732170209935,-394129.40992475406,-0.0004401732170209935,-3941.29409924754
2022-11-28,2022-11-25,8936060.066386767,0.05027725966345103,449280.6123259229,0.031221405642462702,278996.35617807345,0.000312214056424627,2789.9635617807344,-0.043854826634218136,-391889.3650043515,-0.00043854826634218136,-3918.8936500435148
2022-11-29,2022-11-28,8727896.347131198,0.050336069609829844,439327.99807657563,0.031118404385420406,271598.2079640622,0.00031118404385420406,2715.982079640622,-0.04392911780043071,-383408.7867830753,-0.0004392911780043071,-3834.087867830753
2022-11-30,2022-11-29,8735395.091992255,0.05032351867567332,439595.81805125735,0.0311723293005009,272302.6123775619,0.000311723293005009,2723.0261237756195,-0.043860176454533356,-383135.97013484495,-0.00043860176454533356,-3831.3597013484496
2022-12-01,2022-11-30,9101754.3875616,0.051001591420219025,464203.9584816026,0.030356813320754628,276300.25883456686,0.0003035681332075463,2763.0025883456688,-0.044454950548535044,-404618.0412039628,-0.00044454950548535044,-4046.180412039628
2022-12-02,2022-12-01,9254402.47009653,0.051576590321390184,477310.5248694301,0.0297113587482023,274960.8717892875,0.000297113587482023,2749.608717892875,-0.04489823938994761,-415506.37751331646,-0.0004489823938994761,-4155.063775133165
2022-12-05,2022-12-02,9349180.623296767,0.05166331235899629,483009.6388420565,0.02031477639048776,189926.51379655482,0.0002031477639048776,1899.265137965548,-0.04502088027708295,-420908.34153026756,-0.00045020880277082953,-4209.083415302675
2022-12-06,2022-12-05,8885305.624578955,0.05164594217721678,458889.9805139037,-0.01921993654995166,-170775.01033133612,-0.0001921993654995166,-1707.7501033133613,-0.028775068512997687,-255675.27810618313,-0.00028775068512997687,-2556.7527810618312
2022-12-07,2022-12-06,8599795.142574808,0.0513732907741631,441799.776457731,-0.001710491198826658,-14709.873903086453,-1.710491198826658e-05,-147.09873903086452,-0.045081870231213766,-387694.84863257996,-0.00045081870231213766,-3876.9484863258
2022-12-08,2022-12-07,8435382.894525763,0.05134306715716846,433098.4304500663,-0.019161491426124277,-161634.5170095308,-0.00019161491426124277,-1616.3451700953078,-0.023977108678637643,-202256.0924079652,-0.00023977108678637643,-2022.5609240796518
2022-12-09,2022-12-08,8639528.81302812,0.051366483907349075,443782.21774148755,-0.018903925709666536,-163321.01084800708,-0.00018903925709666536,-1633.2101084800709,-0.024035490910291613,-207655.31625473985,-0.00024035490910291613,-2076.5531625473986
2022-12-12,2022-12-09,8513009.572852641,0.051506165843624545,438472.4828877115,0.012887323882204704,109709.91157766111,0.00012887323882204704,1097.0991157766111,-0.04548648576972597,-387226.88879310264,-0.0004548648576972597,-3872.2688879310263
2022-12-13,2022-12-12,8448102.889969693,0.051365023770115224,433937.0057556724,-0.018766905778429266,-158544.7509425372,-0.00018766905778429266,-1585.4475094253721,-0.024132955315926685,-203877.68954798972,-0.00024132955315926685,-2038.7768954798971
2022-12-14,2022-12-13,8370319.7116756085,0.0519212048932184,434597.08477165404,-0.01406981623770509,-117768.86019411647,-0.0001406981623770509,-1177.6886019411647,-0.045820188954575486,-383529.6307991842,-0.00045820188954575486,-3835.296307991842
2022-12-15,2022-12-14,8383152.4693261115,0.05190746925346313,435148.22904863866,-0.019196254826853165,-160925.1310535474,-0.00019196254826853165,-1609.251310535474,-0.04592225623353749,-384973.27574120625,-0.0004592225623353749,-3849.7327574120623
2022-12-16,2022-12-15,8112937.788582365,0.05141674339573399,417140.840461093,0.02092518441896493,169764.7194056755,0.00020925184418964932,1697.647194056755,-0.04537753423616356,-368145.11225726135,-0.0004537753423616356,-3681.4511225726133
2022-12-19,2022-12-16,7920930.421644214,0.051398925651321446,407127.31383138115,0.0190492113747269,150887.47788640528,0.000190492113747269,1508.8747788640528,-0.045416389988530564,-359740.06510140945,-0.00045416389988530564,-3597.4006510140944
2022-12-20,2022-12-19,7737814.672503866,0.051257564821013984,396621.53714886,0.015075946437140275,116654.87954318641,0.00015075946437140275,1166.5487954318642,-0.0453169766508367,-350654.3668423593,-0.000453169766508367,-3506.5436684235933
2022-12-21,2022-12-20,7748437.531121597,0.051400262587111396,398271.7237394792,0.000669978826050438,5191.289080826002,6.69978826050438e-06,51.912890808260016,-0.04537787061916765,-351607.5957879386,-0.0004537787061916765,-3516.0759578793864
2022-12-22,2022-12-21,7858472.582786587,0.051646357942345,405861.48789070046,-0.012280314192939651,-96504.51239322124,-0.0001228031419293965,-965.0451239322124,-0.04578316434089846,-359785.74172616313,-0.00045783164340898463,-3597.8574172616313
2022-12-23,2022-12-22,7636027.047471923,0.05157641674972242,393838.9133125643,-0.003433765303616221,-26220.3247330841,-3.433765303616221e-05,-262.203247330841,-0.04568955951592124,-348886.7122506528,-0.0004568955951592124,-3488.8671225065277
2022-12-27,2022-12-23,7704091.375627687,0.051479880587508006,396605.70405256364,-0.01883772899734376,-145127.58550484767,-0.0001883772899734376,-1451.2758550484766,-0.03921740870724694,-302134.50019596727,-0.00039217408707246937,-3021.345001959673
2022-12-28,2022-12-27,7589372.111756637,0.05088899781582266,386215.5408186489,0.009240508268524433,70129.65575159594,9.240508268524433e-05,701.2965575159594,-0.04555842828782922,-345759.86510311574,-0.00045558428287829217,-3457.5986510311573
2022-12-29,2022-12-28,7442589.488450528,0.05085212116074912,378471.4624164041,0.02997390415575979,223083.46399748142,0.0002997390415575979,2230.8346399748143,-0.045447714141682444,-338248.6795449902,-0.00045447714141682444,-3382.486795449902
